"Infrastructure Construction (New Work) by region, current prices",,,,,,,
"Great Britain, 2010 to 2016",,,,,,,
,,,,,,,£ million
,2010,2011,2012,2013,2014,2015,2016
North East, 229 , 444 , 626 , 632 , 861 ," 1,047 ", 931 
North West," 1,441 "," 1,391 "," 1,123 "," 1,547 "," 1,757 "," 1,934 "," 2,073 "
Yorkshire and the Humber," 1,214 ", 991 ," 1,260 "," 1,533 "," 1,337 "," 1,288 "," 1,019 "
East Midlands, 764 , 876 , 953 , 886 , 784 ," 1,331 "," 1,384 "
West Midlands, 807 , 857 , 771 , 782 , 685 , 785 , 782 
East of England," 1,180 "," 1,397 "," 1,378 "," 1,547 "," 1,668 "," 2,158 "," 2,045 "
London," 2,975 "," 3,950 "," 3,888 "," 3,379 "," 2,347 "," 2,545 "," 2,839 "
South East," 1,992 "," 2,556 "," 1,918 "," 1,854 "," 1,812 "," 2,613 "," 2,409 "
South West, 633 , 838 , 752 , 852 , 994 ," 1,360 "," 1,056 "
Wales, 693 , 707 , 500 , 556 , 608 ," 1,345 "," 1,473 "
Scotland," 1,610 "," 1,314 "," 1,256 "," 1,767 "," 2,532 "," 4,084 "," 3,072 "
Source: Office for National Statistics,,,,,,,
Notes:,,,,,,,
1. Data are in current prices so have not been adjusted for inflation. Year on year changes in the levels should not be analysed.,,,,,,,